,Constituents,load-generation balance,supply power to homes even in the event of an electric grid outage,to ensure the comfort of its occupants by enhancing the automation to relief them from manual control of different services while increasing the energy savings,minimize the average vehicle waiting time in the network,"north-to-south, red-to-green transition times",avoid many simultaneous charging cycles,minimum peak loads emerging,cost limits are not exceeded,balance between energy production and consumption,optimise energy usage in a range of weather conditions,promote to use a VPP from a new electricity production cost policy,cluster together into local energy collectives,market mechanisms,peak optimization,distributed negotiations between groups,optimizations of the decisions of the Smart Grid given the best control design,"to use as much as possible of the locally produced renewable energy and transact energy to decrease operational costs, optimizing its integration in smart grid advanced context.",system disruption responses and minimization of  the overall costs of satisfying total demand from the system in these events,agents perform different functions based on their unique advantages relative to other agents postdisruption,"coordination mechanism, dynamic reorganization and coordination of the network under a disruption",Negotiation and collaboration for resource allocation and demand efficiency,Resolution of potencial conflicts,supply power power to the electric load,Different responses according to different demand/response schemes (price-based),decision about the best control design of the Smart Grid,to proactively plan the DC operation as a system to be able to exploit its latent flexible energy to achieve a deeper and more efficient integration with the local Smart Grid.,energy consumption/production patterns,demand side management,battery storage models,use storage and demand-response techniques,balance energy consumption and production,deploy batteries in different ways depending on the behaviour of their members,Optimize the overall charging behavior,grid stability,control the battery and enhance the operation of the system,decrease the power consumption from power utility by using available energy from the solar panels,minimize the local waiting time for vehicles,Balance between battery consumption and energy production
0,"['Group (Representative) Agent - collectives', '(Prosumers) Households with Photovoltaic cells and wind turbines', 'Storage Agent', 'Battery storages', 'Electric Load']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,"['Battery storages', 'Electric Load', 'Photovoltaic System', 'Wind Energy system', 'charging station for electric vehicles', '(Prosumers) Households with Photovoltaic cells and wind turbines', 'Transformer', 'Transmission line', 'Storage Agent', 'Central controller', 'Sensors', 'IT Servers']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2,"['Market Agent', 'Storage Agent', 'Optimizer Agent', 'Group (Representative) Agent - collectives', '(Prosumers) Households with Photovoltaic cells and wind turbines', 'Service providers', 'Battery storages', 'Electric Load']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,"['electric vehicles', 'smart home applications utilizing IoT technologies', 'Electric Appliances (lights/refrigerators/freezers/washers/dyers/water heaters/baseload)', 'Heating/Ventilation and Air-Conditioning system (HVAC)', 'one heating system', 'Storage Agent', 'Battery storages', 'Photovoltaic System', 'Wind Energy system', 'distributed traffic lights network']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4,"['Storage Agent', 'Battery storages', 'Electric Load', 'Building Management System (BMS)', 'Heating/Ventilation and Air-Conditioning system (HVAC)', 'smart home applications utilizing IoT technologies', 'Electric Appliances (lights/refrigerators/freezers/washers/dyers/water heaters/baseload)', 'one heating system', 'distributed traffic lights network', 'Commercial Greenhouse Growers (CGGs)', 'Virtual Power Plant (VPP) - Generator units/Controllable loads/Storage systems', 'Transformer', 'Transmission line', 'Central controller', 'Sensors', 'IT Servers']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,"['Storage Agent', 'Battery storages', 'Photovoltaic System', 'electric vehicles', 'Wind Energy system', 'distributed traffic lights network']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6,"['Storage Agent', 'Battery storages', 'Electric Load', 'Building Management System (BMS)', 'Heating/Ventilation and Air-Conditioning system (HVAC)', 'smart home applications utilizing IoT technologies', 'Electric Appliances (lights/refrigerators/freezers/washers/dyers/water heaters/baseload)', 'one heating system', 'distributed traffic lights network', 'Transportation system (prosumer)', 'Oil & gas supply sytem (prosumer)', 'Water supply system (prosumer)', 'Smart Grid CS', '(Prosumers) Households with Photovoltaic cells and wind turbines', 'provider of raw material', 'Transformer', 'Transmission line', 'Central controller', 'Sensors', 'IT Servers', 'Photovoltaic System', 'electric vehicles', 'Wind Energy system']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,"['Electric Load', 'Population survey data', 'Battery storages', 'Photovoltaic System', 'Wind Energy system', 'charging station for electric vehicles', '(Prosumers) Households with Photovoltaic cells and wind turbines', 'Transformer', 'Transmission line', 'Storage Agent', 'Central controller', 'Sensors', 'IT Servers', 'electric vehicles', 'distributed traffic lights network']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,"['Storage Agent', 'Battery storages', 'Electric Load', 'Building Management System (BMS)', 'Heating/Ventilation and Air-Conditioning system (HVAC)', 'smart home applications utilizing IoT technologies', 'Electric Appliances (lights/refrigerators/freezers/washers/dyers/water heaters/baseload)', 'one heating system', 'distributed traffic lights network', 'electric vehicles', 'Transformer', 'Transmission line', 'Central controller', 'Sensors', 'IT Servers', 'Photovoltaic System', 'Wind Energy system']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,"['Storage Agent', 'Battery storages', 'Electric Load', 'Building Management System (BMS)', 'Heating/Ventilation and Air-Conditioning system (HVAC)', 'smart home applications utilizing IoT technologies', 'Electric Appliances (lights/refrigerators/freezers/washers/dyers/water heaters/baseload)', 'one heating system', 'distributed traffic lights network', 'Transformer', 'Transmission line', 'Central controller', 'Sensors', 'IT Servers']",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
